id;school_id;config_type;field_type;field_name;display_field_name;field_value;order;created_by
24;-1;SMS_NOTIFICATION;BOOLEAN;STUDENT_LEAVE_APPLICATION_POSTED;Student leave application is posted;TRUE;14;System
25;-1;SMS_NOTIFICATION;BOOLEAN;STUDENT_LEAVE_APPLICATION_MODIFIED;Student leave application is modified;FALSE;15;System
26;-1;SMS_NOTIFICATION;BOOLEAN;STUDENT_LEAVE_APPLICATION_DELETED;Student leave application is deleted;FALSE;16;System
27;-1;SMS_NOTIFICATION;BOOLEAN;STUDENT_LEAVE_APPLICATION_STATUS_UPDATED;Student leave application status is updated;TRUE;17;System
28;-1;SMS_NOTIFICATION;BOOLEAN;STAFF_LEAVE_APPLICATION_POSTED;Staff leave application is posted;TRUE;18;System
29;-1;SMS_NOTIFICATION;BOOLEAN;STAFF_LEAVE_APPLICATION_MODIFIED;Staff leave application is modified;FALSE;19;System
30;-1;SMS_NOTIFICATION;BOOLEAN;STAFF_LEAVE_APPLICATION_DELETED;Staff leave application is deleted;FALSE;20;System
31;-1;SMS_NOTIFICATION;BOOLEAN;STAFF_LEAVE_APPLICATION_STATUS_UPDATED;Staff leave application status is updated;TRUE;21;System
32;-1;EMAIL_NOTIFICATION;BOOLEAN;ATTENDANCE_POSTED;Attendance is posted;FALSE;1;System
33;-1;EMAIL_NOTIFICATION;BOOLEAN;TEST_POSTED;Test is posted;FALSE;2;System
34;-1;EMAIL_NOTIFICATION;BOOLEAN;TEST_MODIFIED;Test is modified;FALSE;3;System
35;-1;EMAIL_NOTIFICATION;BOOLEAN;TEST_DELETED;Test is deleted;FALSE;4;System
36;-1;EMAIL_NOTIFICATION;BOOLEAN;ASSIGNMENT_POSTED;Assignment is posted;FALSE;5;System
37;-1;EMAIL_NOTIFICATION;BOOLEAN;ASSIGNMENT_MODIFIED;Assignment is modified;FALSE;6;System
38;-1;EMAIL_NOTIFICATION;BOOLEAN;ASSIGNMENT_DELETED;Assignment is deleted;FALSE;7;System
39;-1;EMAIL_NOTIFICATION;BOOLEAN;EXAM_PUBLISHED;Exam is published;TRUE;8;System
40;-1;EMAIL_NOTIFICATION;BOOLEAN;TEST_RESULT_PUBLISHED;Test result is published;TRUE;9;System
41;-1;EMAIL_NOTIFICATION;BOOLEAN;ASSIGNMENT_RESULT_PUBLISHED;Assignment result is published;TRUE;10;System
42;-1;EMAIL_NOTIFICATION;BOOLEAN;EXAM_RESULT_PUBLISHED;Exam result is published;TRUE;11;System
43;-1;EMAIL_NOTIFICATION;BOOLEAN;GRADE_CARD_PUBLISHED;Grade card is published;TRUE;12;System
44;-1;EMAIL_NOTIFICATION;BOOLEAN;SCHOOL_EVENT_POSTED;School event is posted;FALSE;13;System
45;-1;EMAIL_NOTIFICATION;BOOLEAN;STUDENT_LEAVE_APPLICATION_POSTED;Student leave application is posted;FALSE;14;System
46;-1;EMAIL_NOTIFICATION;BOOLEAN;STUDENT_LEAVE_APPLICATION_MODIFIED;Student leave application is modified;FALSE;15;System
47;-1;EMAIL_NOTIFICATION;BOOLEAN;STUDENT_LEAVE_APPLICATION_DELETED;Student leave application is deleted;FALSE;16;System
48;-1;EMAIL_NOTIFICATION;BOOLEAN;STUDENT_LEAVE_APPLICATION_STATUS_UPDATED;Student leave application status is updated;TRUE;17;System
49;-1;EMAIL_NOTIFICATION;BOOLEAN;STAFF_LEAVE_APPLICATION_POSTED;Staff leave application is posted;FALSE;18;System
50;-1;EMAIL_NOTIFICATION;BOOLEAN;STAFF_LEAVE_APPLICATION_MODIFIED;Staff leave application is modified;FALSE;19;System
51;-1;EMAIL_NOTIFICATION;BOOLEAN;STAFF_LEAVE_APPLICATION_DELETED;Staff leave application is deleted;FALSE;20;System
52;-1;EMAIL_NOTIFICATION;BOOLEAN;STAFF_LEAVE_APPLICATION_STATUS_UPDATED;Staff leave application status is updated;TRUE;21;System
